instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
LUNC-EUR,SPOT,LUNC,EUR,,10000,1,0.00000001,0.00005035,158409398,0.50
MANA-EUR,SPOT,MANA,EUR,,10,0.0001,0.0001,0.2406,3545.2849,2.41
MINA-EUR,SPOT,MINA,EUR,,1,0.0001,0.0001,0.1558,1696.0791,0.16
MKR-EUR,SPOT,MKR,EUR,,0.001,0.0000001,0.1,1405,1.9024692,1.41
OP-EUR,SPOT,OP,EUR,,1,0.0001,0.0001,0.604,4313.7759,0.60
SAND-EUR,SPOT,SAND,EUR,,10,0.0001,0.0001,0.2376,35182.5984,2.38
SHIB-EUR,SPOT,SHIB,EUR,,50000,1,0.000000001,0.00001057,400205417,0.53
SNX-EUR,SPOT,SNX,EUR,,1,0.0001,0.0001,0.5563,267.4858,0.56
STX-EUR,SPOT,STX,EUR,,1,0.0001,0.0001,0.5706,1209.1057,0.57
SUI-EUR,SPOT,SUI,EUR,,1,0.0001,0.0001,2.9853,68229.9125,2.99
SUSHI-EUR,SPOT,SUSHI,EUR,,1,0.0001,0.0001,0.6569,464.9795,0.66
TRUMP-EUR,SPOT,TRUMP,EUR,,0.1,0.0001,0.001,7.564,952.331,0.76
TRX-EUR,SPOT,TRX,EUR,,10,0.000001,0.00001,0.30124,51012.182175,3.01
UNI-EUR,SPOT,UNI,EUR,,0.1,0.000001,0.001,8.79,732.258783,0.88
USDT-EUR,SPOT,USDT,EUR,,1,0.0001,0.0001,0.8576,3429300.981,0.86
USDC-EUR,SPOT,USDC,EUR,,1,0.000001,0.0001,0.8574,1631542.377216,0.86
WIF-EUR,SPOT,WIF,EUR,,1,0.001,0.0001,0.7184,16278,0.72
WOO-EUR,SPOT,WOO,EUR,,10,0.000001,0.00001,0.06321,39110.174804,0.63
XLM-EUR,SPOT,XLM,EUR,,10,0.001,0.00001,0.34025,127451.666,3.40
XTZ-EUR,SPOT,XTZ,EUR,,1,0.0001,0.0001,0.6813,1076.5028,0.68
YGG-EUR,SPOT,YGG,EUR,,10,0.000001,0.0001,0.1281,4483.138131,1.28
BTC-TRY,SPOT,BTC,TRY,,0.0001,0.000000001,1,4657332,2.915115558,465.73
ETH-TRY,SPOT,ETH,TRY,,0.001,0.00000001,1,172162,89.09766871,172.16
SOL-TRY,SPOT,SOL,TRY,,0.001,0.0000001,0.1,7437.3,622.2873463,7.44
XRP-TRY,SPOT,XRP,TRY,,0.1,0.00001,0.01,118.71,34757.63864,11.87
PI-TRY,SPOT,PI,TRY,,1,0.001,0.01,14.37,1860836.347,14.37
TRUMP-TRY,SPOT,TRUMP,TRY,,0.1,0.0000001,0.1,360,1088.7008966,36.00
USDT-TRY,SPOT,USDT,TRY,,1,0.0001,0.01,40.92,6705041.4495,40.92
BTC-USD,SPOT,BTC,USD,,0.0001,0.00000001,0.1,113762,79.55655188,11.38
ETH-USD,SPOT,ETH,USD,,0.001,0.000001,0.01,4208.39,8061.160163,4.21
SOL-USD,SPOT,SOL,USD,,0.01,0.000001,0.01,181.84,9048.103402,1.82
TON-USD,SPOT,TON,USD,,0.1,0.0001,0.001,3.248,980.749,0.32
DOGE-USD,SPOT,DOGE,USD,,10,0.000001,0.00001,0.21482,1356176.564741,2.15
XRP-USD,SPOT,XRP,USD,,1,0.000001,0.0001,2.8995,596002.143276,2.90
API3-USD,SPOT,API3,USD,,1,0.000001,0.0001,1.3481,19795.77324,1.35
PI-USD,SPOT,PI,USD,,1,0.001,0.0001,0.3511,67743.117,0.35
1INCH-USD,SPOT,1INCH,USD,,10,0.000001,0.0001,0.2489,4589.361051,2.49
A-USD,SPOT,A,USD,,10,0.01,0.0001,0.4928,4930.42,4.93
AAVE-USD,SPOT,AAVE,USD,,0.01,0.000001,0.01,288.03,14.571392,2.88
ACA-USD,SPOT,ACA,USD,,10,0.000001,0.00001,0.03179,175503.714955,0.32
ACE-USD,SPOT,ACE,USD,,1,0.0001,0.0001,0.53,55.3338,0.53
ACH-USD,SPOT,ACH,USD,,100,0.01,0.00001,0.0203,3336.86,2.03
ADA-USD,SPOT,ADA,USD,,10,0.0001,0.0001,0.861,334989.3872,8.61
AERGO-USD,SPOT,AERGO,USD,,10,0.000001,0.00001,0.10666,25742.008042,1.07
AEVO-USD,SPOT,AEVO,USD,,1,0.0001,0.00001,0.09569,0,0.10
AGLD-USD,SPOT,AGLD,USD,,1,0.000001,0.0001,0.6915,0,0.69
AIXBT-USD,SPOT,AIXBT,USD,,1,0.001,0.00001,0.10832,21812.318,0.11
ALGO-USD,SPOT,ALGO,USD,,10,0.000001,0.0001,0.2432,1942.391702,2.43
ALPHA-USD,SPOT,ALPHA,USD,,10,0.000001,0.00001,0.01452,78054.833689,0.15
ANIME-USD,SPOT,ANIME,USD,,10,0.01,0.00001,0.01644,6245.31,0.16
APE-USD,SPOT,APE,USD,,1,0.000001,0.0001,0.603,2275.117064,0.60
APT-USD,SPOT,APT,USD,,0.1,0.0001,0.001,4.36,840.6578,0.44
AR-USD,SPOT,AR,USD,,0.1,0.000001,0.001,6.928,621.84388,0.69
ARB-USD,SPOT,ARB,USD,,1,0.0001,0.0001,0.4882,9427.5506,0.49
ARG-USD,SPOT,ARG,USD,,1,0.0001,0.0001,1.0161,780.457,1.02
ARKM-USD,SPOT,ARKM,USD,,1,0.001,0.0001,0.5105,57.521,0.51
ASP-USD,SPOT,ASP,USD,,10,0.01,0.0001,0.1373,130909.05,1.37
ASTR-USD,SPOT,ASTR,USD,,10,0.000001,0.00001,0.02378,7887.628048,0.24
ATH-USD,SPOT,ATH,USD,,100,0.1,0.00001,0.03272,86514.9,3.27
ATOM-USD,SPOT,ATOM,USD,,0.1,0.000001,0.001,4.377,15.84812,0.44
AUCTION-USD,SPOT,AUCTION,USD,,0.1,0.000001,0.001,9.618,66.982046,0.96
AVAX-USD,SPOT,AVAX,USD,,0.1,0.000001,0.001,22.974,82.90441,2.30
AXS-USD,SPOT,AXS,USD,,0.1,0.000001,0.001,2.27,233.155792,0.23
BABYDOGE-USD,SPOT,BABYDOGE,USD,,1000000000,1,0.000000000001,0.000000001225,324611066987,1.23
BABY-USD,SPOT,BABY,USD,,100,0.1,0.00001,0.05128,658.2,5.13
BADGER-USD,SPOT,BADGER,USD,,1,0.000001,0.0001,0.959,817.833379,0.96
BAL-USD,SPOT,BAL,USD,,1,0.000001,0.0001,1.2817,1034.517286,1.28
BANANA-USD,SPOT,BANANA,USD,,0.1,0.0001,0.01,22.63,0.5062,2.26
BAND-USD,SPOT,BAND,USD,,1,0.000001,0.0001,0.7638,13281.240054,0.76
BAT-USD,SPOT,BAT,USD,,10,0.000001,0.0001,0.1478,498.678224,1.48
BCH-USD,SPOT,BCH,USD,,0.01,0.000001,0.1,551.9,7.34447,5.52
BERA-USD,SPOT,BERA,USD,,0.1,0.001,0.001,2.151,2557.064,0.22
BICO-USD,SPOT,BICO,USD,,10,0.000001,0.00001,0.10647,9701.006008,1.06
BIGTIME-USD,SPOT,BIGTIME,USD,,10,0.01,0.00001,0.05584,0,0.56
BIO-USD,SPOT,BIO,USD,,10,0.001,0.00001,0.16357,199955.464,1.64
BLUR-USD,SPOT,BLUR,USD,,10,0.0001,0.00001,0.0779,0,0.78
BNB-USD,SPOT,BNB,USD,,0.001,0.000001,0.1,830,2.648931,0.83
BNT-USD,SPOT,BNT,USD,,10,0.000001,0.0001,0.8134,0,8.13
BOME-USD,SPOT,BOME,USD,,1000,1,0.000001,0.001735,40217,1.74
BONK-USD,SPOT,BONK,USD,,100000,1,0.000000001,0.000021482,62990146,2.15
CATI-USD,SPOT,CATI,USD,,10,0.01,0.00001,0.08746,3930.13,0.87
CAT-USD,SPOT,CAT,USD,,100000,1,0.000000001,0.000007663,80268492,0.77
CELO-USD,SPOT,CELO,USD,,10,0.000001,0.0001,0.3198,1700.872506,3.20
CELR-USD,SPOT,CELR,USD,,100,0.000001,0.000001,0.007825,61957.248051,0.78
CETUS-USD,SPOT,CETUS,USD,,10,0.0001,0.00001,0.09546,45583.5757,0.95
CFG-USD,SPOT,CFG,USD,,10,0.000001,0.0001,0.2963,13793.452413,2.96
CFX-USD,SPOT,CFX,USD,,10,0.000001,0.00001,0.17422,99813.443365,1.74
CHZ-USD,SPOT,CHZ,USD,,10,0.000001,0.00001,0.0395,5248.767107,0.40
CITY-USD,SPOT,CITY,USD,,1,0.0001,0.0001,1.1001,27.6533,1.10
CLV-USD,SPOT,CLV,USD,,100,0.000001,0.00001,0.02057,50490.973323,2.06
COMP-USD,SPOT,COMP,USD,,0.1,0.000001,0.01,45.67,19.513385,4.57
CORE-USD,SPOT,CORE,USD,,1,0.01,0.0001,0.4776,6865.82,0.48
CRO-USD,SPOT,CRO,USD,,10,0.000001,0.00001,0.1422,9648.920941,1.42
CRV-USD,SPOT,CRV,USD,,1,0.000001,0.0001,0.8524,2593.487407,0.85
CSPR-USD,SPOT,CSPR,USD,,100,0.000001,0.000001,0.010536,537117.868793,1.05
CTC-USD,SPOT,CTC,USD,,1,0.000001,0.0001,0.7419,889.419947,0.74
CVC-USD,SPOT,CVC,USD,,10,0.000001,0.00001,0.09595,0,0.96
CVX-USD,SPOT,CVX,USD,,1,0.000001,0.001,3.804,4810.938424,3.80
CXT-USD,SPOT,CXT,USD,,10,0.01,0.00001,0.02575,22504.55,0.26
DAI-USD,SPOT,DAI,USD,,1,0.000001,0.0001,1.0003,0,1.00
DAO-USD,SPOT,DAO,USD,,1,0.000001,0.0001,0.1206,0,0.12
DEGEN-USD,SPOT,DEGEN,USD,,1000,1,0.000001,0.003498,244739,3.50
DEP-USD,SPOT,DEP,USD,,100,0.00001,0.0000001,0.0015086,2375748.08792,0.15
DGB-USD,SPOT,DGB,USD,,100,0.000001,0.000001,0.008427,8800.291232,0.84
DOGS-USD,SPOT,DOGS,USD,,1000,1,0.0000001,0.0001278,6421937,0.13
DOT-USD,SPOT,DOT,USD,,0.1,0.000001,0.001,3.797,344.437015,0.38
DUCK-USD,SPOT,DUCK,USD,,100,0.1,0.000001,0.005507,861846.5,0.55
DYDX-USD,SPOT,DYDX,USD,,1,0.000001,0.0001,0.6458,4620.097014,0.65
EGLD-USD,SPOT,EGLD,USD,,0.1,0.000001,0.01,14.77,27.121629,1.48
EIGEN-USD,SPOT,EIGEN,USD,,1,0.001,0.0001,1.3338,772.849,1.33
ELF-USD,SPOT,ELF,USD,,10,0.000001,0.0001,0.2127,0,2.13
ELON-USD,SPOT,ELON,USD,,5000000,1,0.0000000001,0.0000001063,6999463827,0.53
ENJ-USD,SPOT,ENJ,USD,,10,0.001,0.00001,0.06561,220.448,0.66
ENS-USD,SPOT,ENS,USD,,0.1,0.000001,0.001,24.525,32.643179,2.45
ERN-USD,SPOT,ERN,USD,,1,0.000001,0.0001,0.7004,11978.971716,0.70
ETC-USD,SPOT,ETC,USD,,0.1,0.000001,0.01,20.93,0.796164,2.09
ETHFI-USD,SPOT,ETHFI,USD,,1,0.0001,0.0001,1.11,0,1.11
ETHW-USD,SPOT,ETHW,USD,,1,0.0001,0.001,1.575,18.5406,1.57
EURC-USD,SPOT,EURC,USD,,1,0.0001,0.0001,1.1659,336969.4916,1.17
FIL-USD,SPOT,FIL,USD,,0.1,0.000001,0.001,2.402,1003.352974,0.24
FLM-USD,SPOT,FLM,USD,,100,0.000001,0.00001,0.03046,44826.177855,3.05
FLOKI-USD,SPOT,FLOKI,USD,,10000,1,0.00000001,0.00009999,39781858,1.00
FLOW-USD,SPOT,FLOW,USD,,1,0.000001,0.0001,0.3688,1063.432715,0.37
FLR-USD,SPOT,FLR,USD,,100,0.01,0.00001,0.02345,52975.03,2.34
FLUID-USD,SPOT,FLUID,USD,,1,0.001,0.001,6.752,150.09,6.75
FORTH-USD,SPOT,FORTH,USD,,1,0.000001,0.001,2.76,137.844657,2.76
G-USD,SPOT,G,USD,,100,0.1,0.00001,0.01149,345.3,1.15
GALA-USD,SPOT,GALA,USD,,100,0.000001,0.00001,0.01622,548.35473,1.62
GAS-USD,SPOT,GAS,USD,,1,0.000001,0.001,3.238,131.268185,3.24
GEAR-USD,SPOT,GEAR,USD,,100,0.01,0.000001,0.003463,107116.72,0.35
GHST-USD,SPOT,GHST,USD,,1,0.000001,0.0001,0.4529,1119.064218,0.45
GLMR-USD,SPOT,GLMR,USD,,10,0.000001,0.00001,0.07449,1355.857993,0.74
GLM-USD,SPOT,GLM,USD,,10,0.000001,0.0001,0.2595,0,2.60
GMT-USD,SPOT,GMT,USD,,10,0.0001,0.00001,0.04153,30696.8811,0.42
GOAT-USD,SPOT,GOAT,USD,,10,0.001,0.00001,0.08918,10553.232,0.89
GODS-USD,SPOT,GODS,USD,,10,0.000001,0.00001,0.12543,37612.572594,1.25
GRT-USD,SPOT,GRT,USD,,10,0.000001,0.00001,0.08909,2397.627564,0.89
HBAR-USD,SPOT,HBAR,USD,,10,0.000001,0.00001,0.23439,52593.234187,2.34
HMSTR-USD,SPOT,HMSTR,USD,,100,0.1,0.0000001,0.0006994,752842.7,0.07
HUMA-USD,SPOT,HUMA,USD,,100,0.1,0.00001,0.03362,36392.2,3.36
ICE-USD,SPOT,ICE,USD,,100,0.1,0.000001,0.005151,2373347.1,0.52
ICP-USD,SPOT,ICP,USD,,0.1,0.000001,0.001,5.148,113.41292,0.51
ICX-USD,SPOT,ICX,USD,,10,0.000001,0.00001,0.125,360.304682,1.25
ID-USD,SPOT,ID,USD,,10,0.001,0.0001,0.1656,0,1.66
ILV-USD,SPOT,ILV,USD,,0.01,0.000001,0.001,15.401,30.3135,0.15
IMX-USD,SPOT,IMX,USD,,1,0.000001,0.0001,0.5359,472.815502,0.54
IOST-USD,SPOT,IOST,USD,,100,0.000001,0.000001,0.00364,0,0.36
IOTA-USD,SPOT,IOTA,USD,,10,0.000001,0.0001,0.1934,145245.243782,1.93
IP-USD,SPOT,IP,USD,,1,0.001,0.0001,5.6188,861.257,5.62
JOE-USD,SPOT,JOE,USD,,10,0.000001,0.0001,0.1572,0,1.57
JST-USD,SPOT,JST,USD,,100,0.000001,0.00001,0.03269,0,3.27
JTO-USD,SPOT,JTO,USD,,1,0.0001,0.001,1.702,972.5594,1.70
JUP-USD,SPOT,JUP,USD,,10,0.001,0.0001,0.4906,3482.639,4.91
KAITO-USD,SPOT,KAITO,USD,,1,0.001,0.0001,1.0439,1311.12,1.04
KAIA-USD,SPOT,KAIA,USD,,10,0.01,0.0001,0.1457,1799.57,1.46
KDA-USD,SPOT,KDA,USD,,1,0.000001,0.0001,0.3826,298.555454,0.38
KMNO-USD,SPOT,KMNO,USD,,100,0.1,0.00001,0.05703,3030,5.70
KNC-USD,SPOT,KNC,USD,,10,0.000001,0.0001,0.3929,0,3.93
KSM-USD,SPOT,KSM,USD,,0.1,0.000001,0.01,13.95,4.214273,1.40
LAT-USD,SPOT,LAT,USD,,100,0.000001,0.000001,0.003188,251809.835602,0.32
LAYER-USD,SPOT,LAYER,USD,,1,0.001,0.0001,0.557,658.469,0.56
LDO-USD,SPOT,LDO,USD,,1,0.0001,0.0001,1.3317,2302.44,1.33
LEO-USD,SPOT,LEO,USD,,1,0.000001,0.001,9.591,8.519803,9.59
LINK-USD,SPOT,LINK,USD,,0.1,0.000001,0.001,25.33,2440.53977,2.53
LOOKS-USD,SPOT,LOOKS,USD,,10,0.000001,0.00001,0.01815,6621.546169,0.18
LPT-USD,SPOT,LPT,USD,,0.1,0.000001,0.001,6.161,106.688055,0.62
LQTY-USD,SPOT,LQTY,USD,,1,0.0001,0.0001,0.9042,0,0.90
LRC-USD,SPOT,LRC,USD,,10,0.000001,0.00001,0.08778,10735.53523,0.88
LSK-USD,SPOT,LSK,USD,,1,0.00000001,0.0001,0.394,0,0.39
LTC-USD,SPOT,LTC,USD,,0.01,0.000001,0.01,114.92,2348.18705,1.15
LUNA-USD,SPOT,LUNA,USD,,10,0.0001,0.0001,0.1516,1583.0565,1.52
LUNC-USD,SPOT,LUNC,USD,,10000,1,0.00000001,0.00005888,4078414,0.59
MAGIC-USD,SPOT,MAGIC,USD,,1,0.000001,0.00001,0.22825,7033.477492,0.23
MAJOR-USD,SPOT,MAJOR,USD,,1,0.001,0.0001,0.1583,3467.182,0.16
MANA-USD,SPOT,MANA,USD,,10,0.000001,0.0001,0.2919,0,2.92
MASK-USD,SPOT,MASK,USD,,1,0.000001,0.001,1.235,93.019618,1.24
ME-USD,SPOT,ME,USD,,1,0.001,0.0001,0.7141,0,0.71
MEME-USD,SPOT,MEME,USD,,100,0.1,0.000001,0.002358,5071875.5,0.24
MEMEFI-USD,SPOT,MEMEFI,USD,,100,0.1,0.0000001,0.0017742,9345752.2,0.18
MENGO-USD,SPOT,MENGO,USD,,10,0.0001,0.00001,0.12782,15254.6541,1.28
MERL-USD,SPOT,MERL,USD,,10,0.001,0.00001,0.11139,24093.995,1.11
METIS-USD,SPOT,METIS,USD,,0.01,0.000001,0.01,16.57,7.958428,0.17
MEW-USD,SPOT,MEW,USD,,1000,1,0.000001,0.002893,0,2.89
MINA-USD,SPOT,MINA,USD,,1,0.000001,0.0001,0.1813,5878.418916,0.18
MKR-USD,SPOT,MKR,USD,,0.001,0.00000001,0.1,1636,2.74204928,1.64
MLN-USD,SPOT,MLN,USD,,0.1,0.000001,0.001,9.123,84.776923,0.91
MOODENG-USD,SPOT,MOODENG,USD,,10,0.01,0.00001,0.14662,3745.69,1.47
MORPHO-USD,SPOT,MORPHO,USD,,1,0.001,0.0001,2.0957,581.97,2.10
MOVR-USD,SPOT,MOVR,USD,,0.1,0.000001,0.001,6.374,247.794267,0.64
MOVE-USD,SPOT,MOVE,USD,,10,0.1,0.00001,0.12642,7591.4,1.26
NAVX-USD,SPOT,NAVX,USD,,10,0.01,0.00001,0.03819,13807.39,0.38
NC-USD,SPOT,NC,USD,,10,0.01,0.00001,0.01919,35417.13,0.19
NEAR-USD,SPOT,NEAR,USD,,1,0.00000001,0.001,2.475,4156.94898084,2.48
NEIRO-USD,SPOT,NEIRO,USD,,1000,1,0.0000001,0.0003606,3675133,0.36
NEO-USD,SPOT,NEO,USD,,0.1,0.000001,0.001,6.224,4741.680998,0.62
NMR-USD,SPOT,NMR,USD,,0.1,0.000001,0.001,8.172,193.10135,0.82
NOT-USD,SPOT,NOT,USD,,100,0.1,0.000001,0.001834,166493.7,0.18
OAS-USD,SPOT,OAS,USD,,100,0.01,0.00001,0.01141,50263.32,1.14
OL-USD,SPOT,OL,USD,,100,0.1,0.00001,0.03614,72244.3,3.61
OM-USD,SPOT,OM,USD,,1,0.000001,0.0001,0.2371,2199.076406,0.24
OMI-USD,SPOT,OMI,USD,,1000,0.001,0.0000001,0.000188,3411487.349,0.19
ONDO-USD,SPOT,ONDO,USD,,1,0.001,0.0001,0.931,133953.966,0.93
ONE-USD,SPOT,ONE,USD,,100,0.000001,0.000001,0.01035,367.980209,1.03
ONT-USD,SPOT,ONT,USD,,10,0.000001,0.0001,0.133,1010.999432,1.33
OP-USD,SPOT,OP,USD,,1,0.0001,0.0001,0.7079,13838.4453,0.71
ORBS-USD,SPOT,ORBS,USD,,100,0.000001,0.00001,0.01805,12294.52967,1.80
ORDI-USD,SPOT,ORDI,USD,,0.1,0.0001,0.001,8.641,50.6568,0.86
PARTI-USD,SPOT,PARTI,USD,,10,0.01,0.0001,0.1765,0,1.76
PENGU-USD,SPOT,PENGU,USD,,100,1,0.000001,0.029784,187800,2.98
PENDLE-USD,SPOT,PENDLE,USD,,1,0.001,0.001,5.259,516.615,5.26
