instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
SOL-BRL,SPOT,SOL,BRL,,,,,,,1733799300000,,0.1,0.000001,0.001,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,998.8,0.14266,998.4,1.841468,997.1,1.003009,991.3,1005.2,966.7,172239.0182828,174.242427,977.4,974.8,1755694245719,1.00
XRP-BRL,SPOT,XRP,BRL,,,,,,,1733799600000,,0.001,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,15.912,8.87331,15.92,125.91526,15.891,101.08549,16.427,16.67,15.773,302447.93600077,18913.01616,15.813,16.054,1755694243919,1.59
PI-BRL,SPOT,PI,BRL,,,,,,,1741338000000,,0.001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.933,2.046,1.927,1000.881,1.921,169.86,1.944,1.959,1.89,170859.75125,88980.165,1.912,1.931,1755694245208,1.93
PEPE-BRL,SPOT,PEPE,BRL,,,,,,,1715045400000,,0.00000001,1,100000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.00005684,265830,0.00005698,65673059,0.00005692,4922305,0.00005843,0.00005952,0.00005592,93391.65595133,1635180162,0.00005633,0.0000568,1755694245721,5.68
TRUMP-BRL,SPOT,TRUMP,BRL,,,,,,,1737542100000,,0.01,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,48.54,7.0368,48.47,19.5638,48.22,4.0715,48.73,49.38,47.46,26311.46108,547.0637,47.61,47.51,1755694245315,4.85
USDT-BRL,SPOT,USDT,BRL,,,,,,,1707361200000,,0.001,0.00001,1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,5.485,4.1,5.485,55356.82376,5.484,10066.23779,5.46,5.532,5.46,6786559.16169181,1234258.95033,5.52,5.485,1755694238522,5.49
USDC-BRL,SPOT,USDC,BRL,,,,,,,1715044800000,,0.001,0.00001,1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,5.481,4.25219,5.482,10.70724,5.481,25.53864,5.458,5.531,5.458,535344.4975933,97443.5861,5.52,5.486,1755694225208,5.48
BTC-EUR,SPOT,BTC,EUR,,,,,,,1700539860000,,0.1,0.00000001,0.0001,,9999999999,1000000,9999999999.0000000000000000,9999999999.0000000000000000,9999999999.0000000000000000,1000000,97554.7,0.00043949,97575.5,0.018791,97575.4,0.0004394,98836.2,99324.4,96805.6,16848477.805281596,172.64139718,96954.3,97616.4,1755694243008,9.76
ETH-EUR,SPOT,ETH,EUR,,,,,,,1700539860000,,0.01,0.000001,0.001,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,3607.5,0.003633,3607.45,0.178199,3606.71,2.530142,3676.1,3720,3493.9,18808845.38440605,5248.480322,3502.06,3595.47,1755694245714,3.61
SOL-EUR,SPOT,SOL,EUR,,,,,,,1700539860000,,0.01,0.000001,0.01,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,156.03,0.223249,156.04,8.239726,156,25.604201,155.64,157.19,150.86,2448022.96641691,15924.166095,151.49,152.69,1755694245117,1.56
TON-EUR,SPOT,TON,EUR,,,,,,,1710393000000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,2.787,47.1914,2.788,123.0264,2.785,92.3692,2.803,2.823,2.734,9047.7525884,3254.274,2.77,2.75,1755694243614,0.28
DOGE-EUR,SPOT,DOGE,EUR,,,,,,,1700539860000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.1842,136.454319,0.1843,3036.056251,0.18423,1396.343043,0.18801,0.1906,0.179,267941.94586414454,1457644.43436,0.17985,0.184,1755694245712,1.84
XRP-EUR,SPOT,XRP,EUR,,,,,,,1710383400000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,2.4864,964.9792,2.487,310.2934,2.4866,1092.1,2.5785,2.6038,2.4466,4219497.66777239,1687854.3755,2.4572,2.515,1755694245314,2.49
