instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
THETA-USDT-SWAP,SWAP,,,USDT,10,1,THETA,,,1587463971000,,0.0001,0.1,0.1,,100000000,8500,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,8500,0.7797,0.1,0.7798,0.3,0.7796,32.8,0.7923,0.8003,0.7571,4003841,400384.1,0.7623,0.7778,1755693511040,,,,
TIA-USDT-SWAP,SWAP,,,USDT,1,1,TIA,,,1698776700675,,0.001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,1.681,2,1.682,9470,1.681,7795,1.735,1.746,1.638,19423728,19423728,1.646,1.688,1755693511018,,,,
TNSR-USDT-SWAP,SWAP,,,USDT,1,1,TNSR,,,1712592120492,,0.0001,1,1,,100000000,50000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,50000,0.1216,343,0.1216,6748,0.1215,5540,0.1234,0.1244,0.1163,9062823,9062823,0.1176,0.1206,1755693511006,,,,
TRB-USDT-SWAP,SWAP,,,USDT,0.1,1,TRB,,,1599559971000,,0.01,1,1,,100000000,28000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,28000,35.38,1,35.38,4,35.37,1749,36.22,36.47,34.57,379183.1,3791831,34.71,35.47,1755693511018,,,,
TREE-USDT-SWAP,SWAP,,,USDT,1,1,TREE,,,1753799400400,,0.0001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.3236,153,0.3237,989,0.3236,7914,0.3423,0.3469,0.3158,28908834,28908834,0.3231,0.339,1755693510919,,,,
TRUMP-USDT-SWAP,SWAP,,,USDT,0.1,1,TRUMP,,,1737264604112,,0.001,1,1,,100000000,35000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,35000,8.785,3,8.786,1809,8.785,36460,8.976,9.023,8.56,13625870.3,136258703,8.608,8.694,1755693511006,,,,
TRX-USDT-SWAP,SWAP,,,USDT,1000,1,TRX,,,1573557408000,,0.00001,0.01,0.01,,1000000,4000,1000000.0000000000000000,1000000.0000000000000000,1000000.0000000000000000,4000,0.35118,0.02,0.35117,1.12,0.35116,45.66,0.35117,0.3529,0.34564,240470670,240470.67,0.34722,0.34908,1755693510715,,,,
TURBO-USDT-SWAP,SWAP,,,USDT,10000,1,TURBO,,,1702547700612,,0.000001,0.1,0.1,,100000000,2000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,2000,0.00409,14.7,0.004091,22.1,0.00409,31.9,0.004246,0.004288,0.004007,2465325000,246532.5,0.004026,0.004149,1755693511014,,,,
UMA-USDT-SWAP,SWAP,,,USDT,0.1,1,UMA,,,1599214371000,,0.001,1,1,,100000000,150000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,150000,1.383,1402,1.383,7756,1.382,27950,1.358,1.606,1.308,59796239.1,597962391,1.439,1.332,1755693509508,,,,
UNI-USDT-SWAP,SWAP,,,USDT,1,1,UNI,,,1600317000000,,0.001,1,1,,100000000,30000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,30000,10.222,114,10.222,169,10.221,604,10.444,10.498,9.907,9955388,9955388,9.946,10.222,1755693510710,,,,
