instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
ETH-USDT-SWAP,SWAP,,,USDT,0.1,1,ETH,,,1573557408000,,0.01,0.01,0.01,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,4205.3,0.22,4205.3,841.08,4205.29,3491.57,4288.67,4339.96,4060.79,5525024.663,55250246.63,4074.99,4190.41,1755694245965,42.05
SOL-USDT-SWAP,SWAP,,,USDT,1,1,SOL,,,1611298800000,,0.01,0.01,0.01,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,181.89,0.22,181.89,831.26,181.88,200.29,181.48,183.33,175.57,8945137.98,8945137.98,176.12,177.89,1755694245913,1.82
TON-USDT-SWAP,SWAP,,,USDT,1,1,TON,,,1672210451828,,0.001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,3.247,1,3.248,5245,3.247,294,3.269,3.286,3.182,9351830,9351830,3.222,3.204,1755694245876,3.25
DOGE-USDT-SWAP,SWAP,,,USDT,1000,1,DOGE,,,1587463971000,,0.00001,0.01,0.01,,100000000,12000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,12000,0.21479,23.2,0.2148,193.3,0.21479,258.27,0.21929,0.2223,0.20805,5201952030,5201952.03,0.20936,0.21437,1755694245914,0.00
XRP-USDT-SWAP,SWAP,,,USDT,100,1,XRP,,,1573557408000,,0.0001,0.01,0.01,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,2.8986,0.05,2.8985,73.19,2.8984,133.34,3.0065,3.0372,2.8469,267436729,2674367.29,2.8595,2.9279,1755694245914,0.03
API3-USDT-SWAP,SWAP,,,USDT,1,1,API3,,,1646297716213,,0.0001,1,1,,100000000,14000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,14000,1.349,59,1.3491,958,1.349,31,1.5153,1.56,1.2363,376102333,376102333,1.3636,1.3492,1755694245419,1.35
PI-USDT-SWAP,SWAP,,,USDT,1,1,PI,,,1740042000388,,0.0001,1,1,,100000000,100000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,100000,0.3507,681,0.3506,12039,0.3505,15405,0.3558,0.3576,0.3411,79869369,79869369,0.3433,0.3519,1755694245816,0.35
1INCH-USDT-SWAP,SWAP,,,USDT,1,1,1INCH,,,1608863400000,,0.0001,1,1,,100000000,130000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,130000,0.2481,3,0.2482,2094,0.2481,185,0.2478,0.2515,0.2407,28104223,28104223,0.241,0.245,1755694245305,0.25
A-USDT-SWAP,SWAP,,,USDT,10,1,A,,,1748514600412,,0.0001,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,0.4932,14,0.4931,76,0.493,194,0.4967,0.5008,0.4792,12969790,1296979,0.4834,0.4912,1755694245609,0.49
AAVE-USDT-SWAP,SWAP,,,USDT,0.1,1,AAVE,,,1607580000000,,0.01,0.1,0.1,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,287.89,9.4,287.87,80.9,287.86,14.9,285.23,292.17,275.62,305002.89,3050028.9,277.25,280.47,1755694245968,28.79
